,n1,n2,ratio,correct
0,3,12,0.25,1
1,5,10,0.5,1
2,18,20,0.9,1
3,6,8,0.75,1
4,3,12,0.25,1
5,18,20,0.9,0
6,3,4,0.75,1
7,15,20,0.75,1
8,3,12,0.25,1
9,6,8,0.75,1
10,18,20,0.9,0
11,15,20,0.75,1
12,5,10,0.5,0
13,15,20,0.75,1
14,2,4,0.5,1
15,5,10,0.5,1
16,3,4,0.75,1
17,15,20,0.75,1
18,2,8,0.25,1
19,18,20,0.9,1
20,18,20,0.9,1
21,2,4,0.5,1
22,9,10,0.9,1
23,9,10,0.9,0
24,9,10,0.9,1
25,9,10,0.9,1
26,9,18,0.5,1
27,2,4,0.5,1
28,6,12,0.5,1
29,3,12,0.25,1
30,5,10,0.5,1
31,2,8,0.25,1
32,3,12,0.25,1
33,3,12,0.25,1
34,3,4,0.75,1
35,3,12,0.25,1
36,18,20,0.9,1
37,3,12,0.25,1
38,2,8,0.25,1
39,9,10,0.9,1
40,18,20,0.9,1
41,3,12,0.25,1
42,9,10,0.9,1
43,6,8,0.75,1
44,6,12,0.5,1
45,3,4,0.75,1
46,18,20,0.9,1
47,6,24,0.25,1
48,3,4,0.75,1
49,3,6,0.5,1
50,10,20,0.5,1
51,10,20,0.5,1
52,9,18,0.5,1
53,9,18,0.5,1
54,18,20,0.9,1
55,18,20,0.9,0
56,3,12,0.25,1
57,2,8,0.25,1
58,1,2,0.5,1
59,10,20,0.5,1
60,6,8,0.75,1
61,3,4,0.75,1
62,3,12,0.25,1
63,3,12,0.25,1
64,2,4,0.5,1
65,2,8,0.25,1
66,9,10,0.9,0
67,3,12,0.25,1
68,2,8,0.25,1
69,3,4,0.75,1
70,2,8,0.25,1
71,18,20,0.9,1
72,2,4,0.5,1
73,18,20,0.9,0
74,9,10,0.9,1
75,2,4,0.5,1
76,18,20,0.9,1
77,12,16,0.75,1
78,3,12,0.25,1
79,6,8,0.75,1
80,12,16,0.75,1
81,9,18,0.5,1
82,3,4,0.75,1
83,18,20,0.9,1
84,6,12,0.5,1
85,2,4,0.5,1
86,3,4,0.75,1
87,3,12,0.25,1
88,15,20,0.75,0
89,6,24,0.25,1
90,9,10,0.9,1
91,5,20,0.25,1
92,3,4,0.75,0
93,3,4,0.75,1
94,2,4,0.5,1
95,3,4,0.75,1
96,3,12,0.25,1
97,3,12,0.25,1
98,18,20,0.9,0
99,18,20,0.9,1
100,9,18,0.5,1
101,15,20,0.75,1
102,18,20,0.9,1
103,1,2,0.5,1
104,2,4,0.5,1
105,15,20,0.75,0
106,18,20,0.9,0
107,3,4,0.75,1
108,3,12,0.25,1
109,5,10,0.5,1
110,3,12,0.25,1
111,6,8,0.75,1
112,18,20,0.9,1
113,18,20,0.9,1
114,5,20,0.25,1
115,3,4,0.75,1
116,5,10,0.5,1
117,6,12,0.5,1
118,18,24,0.75,1
119,18,20,0.9,1
